root,translit,top_gloss,occurrences,n_ayahs,mean_pairwise,localization,hull_area,density,dist_from_global,n_clusters,spread_frac,dom_kmeans,dom_k_frac
اله,a-l-h,God,2851,1879,3.003,0.5,80.51,23.339,3.506,1,0.002,4,0.429
قول,q-w-l,said,1722,1383,4.939,0.823,73.07,18.928,1.616,2,0.052,4,0.331
كون,k-w-n,was,1390,1176,5.249,0.874,77.71,15.133,1.584,2,0.063,4,0.34
ربب,r-b-b,Repair,980,871,3.519,0.586,48.25,18.053,2.894,1,0.036,6,0.313
علم,3-l-m,Knowledge,854,728,4.252,0.708,78.91,9.225,2.426,1,0.029,4,0.368
امن,a-m-n,to be secure,879,723,3.693,0.615,67.09,10.776,3.042,1,0.022,4,0.444
قوم,q-w-m,people,660,597,4.8,0.8,75.8,7.876,2.263,1,0.045,4,0.405
اتي,a-t-a,Came,549,486,4.824,0.804,69.0,7.044,2.406,1,0.047,4,0.461
كفر,k-f-r,Rose-water,525,465,3.335,0.556,68.6,6.779,3.037,1,0.017,4,0.411
بين,b-y-n,Clear,523,454,4.126,0.687,62.73,7.238,2.854,1,0.02,4,0.46
شيا,sh-y-a,Thing,519,449,4.062,0.677,67.09,6.692,3.019,1,0.024,4,0.457
ارض,a-r-d,Land,461,440,4.659,0.776,72.49,6.069,2.405,1,0.039,4,0.384
رسل,r-s-l,Messenger,513,429,4.361,0.727,74.44,5.763,2.379,1,0.03,4,0.415
يوم,y-w-m,Day,405,377,5.662,0.943,71.66,5.261,1.296,2,0.077,4,0.342
كلل,k-l-l,Dim,377,355,3.732,0.622,66.47,5.341,2.863,1,0.003,4,0.408
ايي,a-a-a,,382,353,4.64,0.773,66.97,5.271,2.021,1,0.042,4,0.348
سمو,s-m-w,sky,381,352,3.466,0.577,31.88,11.04,3.07,2,0.381,4,0.369
عذب,3-dh-b,Punishment,373,336,3.619,0.603,73.65,4.562,2.631,1,0.054,4,0.354
رحم,r-h-m,Mercy,339,313,3.162,0.527,28.21,11.094,3.004,1,0.0,6,0.367
عمل,3-m-l,Worked,360,313,3.889,0.648,61.54,5.087,2.799,1,0.032,4,0.387
جعل,j-3-l,,346,311,4.965,0.827,72.18,4.309,2.041,1,0.042,4,0.379
راي,r-a-a,Facing,328,297,4.752,0.792,82.94,3.581,2.218,1,0.044,4,0.404
ظلم,z-l-m,Oppressed,315,290,3.54,0.59,66.4,4.367,2.937,1,0.017,4,0.4
قبل,q-b-l,Accepted,294,282,4.229,0.704,64.57,4.368,2.67,1,0.028,4,0.45
كتب,k-t-b,Cutting off,319,279,5.507,0.917,66.29,4.209,2.048,2,0.086,4,0.487
نفس,n-f-s,Esteemed,298,270,4.364,0.727,68.13,3.963,3.13,1,0.037,4,0.53
هدي,h-d-a,Guidance,316,268,4.077,0.679,65.45,4.094,2.587,1,0.026,4,0.392
ذكر,dh-k-r,Mention,292,264,5.061,0.843,66.43,3.974,1.48,2,0.053,4,0.322
حقق,h-q-q,حق,287,263,3.451,0.575,32.46,8.101,2.933,1,0.008,4,0.399
جيا,j-y-a,,278,262,4.806,0.801,65.82,3.981,2.296,1,0.046,4,0.427
نزل,n-z-l,Rations,293,257,4.272,0.712,61.23,4.197,2.527,1,0.023,4,0.432
كذب,k-dh-b,Decisive,282,257,4.005,0.667,83.35,3.083,3.404,2,0.152,0,0.276
عبد,3-b-d,Slave,275,251,5.384,0.897,79.07,3.175,1.132,2,0.068,4,0.291
اخذ,a-kh-dh,took,273,244,3.813,0.635,62.84,3.883,2.768,2,0.447,4,0.41
اخر,a-kh-r,Postpone,250,242,5.563,0.927,66.93,3.616,1.837,2,0.07,4,0.405
وقي,w-q-a,To guard,258,237,3.594,0.599,67.8,3.496,2.72,1,0.046,4,0.367
امر,a-m-r,Commander,248,226,4.775,0.795,65.87,3.431,2.412,2,0.491,4,0.447
نوس,n-w-s,to and fro,241,225,3.202,0.533,28.55,7.881,3.461,2,0.493,4,0.498
بعد,b-3-d,"""became distant""",235,223,4.366,0.727,75.97,2.935,2.956,1,0.036,4,0.466
خلق,kh-l-q,Creation,261,218,6.337,1.056,67.72,3.219,0.753,3,0.399,4,0.298
غفر,gh-f-r,Forgiveness,234,202,2.51,0.418,52.2,3.87,3.913,1,0.02,6,0.406
ولي,w-l-a,Turned away,232,202,3.255,0.542,61.86,3.266,3.086,1,0.005,4,0.406
جنن,j-n-n,,201,196,3.515,0.585,57.4,3.415,2.437,1,0.005,4,0.347
ملك,m-l-k,Ownership,206,191,3.98,0.663,62.18,3.072,2.917,1,0.016,4,0.419
حكم,h-k-m,Wise,210,189,4.345,0.724,62.28,3.035,2.57,1,0.037,4,0.392
عند,3-n-d,at,201,189,4.139,0.689,63.56,2.973,2.81,1,0.026,4,0.46
دعو,d-3-w,Supplication,212,182,3.994,0.665,64.63,2.816,2.306,1,0.027,6,0.352
خير,kh-y-r,Good,196,178,4.143,0.69,55.91,3.184,2.779,1,0.028,4,0.433
حسن,h-s-n,Best,194,177,4.062,0.677,74.92,2.363,3.019,1,0.062,4,0.441
نور,n-w-r,Fire,194,174,3.558,0.593,63.79,2.728,2.92,1,0.029,4,0.391
صلح,s-l-h,Hoary,180,170,3.624,0.604,59.8,2.843,3.001,1,0.029,4,0.382
ضلل,d-l-l,Delusion,191,170,3.472,0.578,62.54,2.718,2.689,2,0.353,4,0.335
سبل,s-b-l,Way,176,164,2.885,0.481,25.87,6.34,3.846,1,0.0,4,0.5
سمع,s-m-3,Hearing,185,163,5.107,0.851,69.41,2.348,1.323,3,0.356,6,0.356
كثر,k-th-r,Partial,167,162,4.675,0.779,66.08,2.452,2.443,1,0.043,4,0.457
حيي,h-a-a,Life,184,161,4.569,0.761,64.86,2.482,2.617,1,0.037,4,0.41
اول,a-w-l,First,170,158,5.211,0.868,68.95,2.292,1.659,2,0.051,4,0.373
خرج,kh-r-j,He emerged,182,157,5.361,0.893,62.55,2.51,2.288,3,0.497,4,0.503
تبع,t-b-3,Followed,172,156,3.441,0.573,51.16,3.049,3.036,1,0.006,4,0.442
قلب,q-l-b,Turned,168,155,4.632,0.772,60.87,2.546,2.796,2,0.052,4,0.484
كبر,k-b-r,Dose,161,153,4.831,0.805,63.43,2.412,2.155,1,0.046,4,0.366
نبا,n-b-a,news,160,151,4.447,0.741,59.43,2.541,2.954,2,0.457,4,0.53
سوا,s-w-a,evil,167,151,3.43,0.571,61.05,2.473,3.227,1,0.033,4,0.437
بني,b-n-a,built,183,150,6.305,1.05,64.32,2.332,2.151,2,0.093,4,0.527
مثل,m-th-l,Example,169,148,4.016,0.669,64.92,2.28,3.176,1,0.034,4,0.507
غير,gh-y-r,Other,154,146,4.768,0.794,62.29,2.344,3.194,2,0.062,4,0.603
صدق,s-d-q,truthful,155,144,6.187,1.031,65.84,2.187,1.269,2,0.09,4,0.382
موت,m-w-t,Death,165,143,4.906,0.817,62.46,2.29,1.953,2,0.399,4,0.357
شرك,sh-r-k,Polytheist,168,143,4.052,0.675,61.61,2.321,3.044,2,0.503,4,0.49
دون,d-w-n,Inferior,144,142,2.923,0.487,25.42,5.587,3.1,1,0.007,6,0.387
بصر,b-s-r,Seeing,148,139,7.065,1.177,63.17,2.2,0.255,2,0.137,4,0.309
نصر,n-s-r,Victory,158,137,4.296,0.716,67.22,2.038,2.346,1,0.036,4,0.358
لقي,l-q-a,Encounter,146,135,5.407,0.901,62.09,2.174,1.327,2,0.067,4,0.326
وعد,w-3-d,,151,130,5.651,0.941,66.57,1.953,1.196,2,0.085,4,0.331
دنو,d-n-w,World,133,128,3.519,0.586,53.0,2.415,3.605,1,0.047,4,0.516
نعم,n-3-m,Bliss,140,128,4.887,0.814,67.44,1.898,2.096,1,0.047,4,0.406
عظم,3-z-m,Great,128,127,4.447,0.741,59.48,2.135,2.21,1,0.039,4,0.362
سلم,s-l-m,Safe,140,127,6.784,1.13,58.98,2.153,0.757,2,0.118,4,0.354
شهد,sh-h-d,Witnessed,160,123,4.96,0.826,61.76,1.992,2.269,2,0.512,4,0.439
جمع,j-m-3,,129,123,5.092,0.848,59.19,2.078,1.517,2,0.398,4,0.333
قتل,q-t-l,killed,170,122,3.43,0.571,47.05,2.593,4.033,2,0.361,4,0.639
قدر,q-d-r,Considered,132,121,4.734,0.789,69.4,1.743,2.119,3,0.545,4,0.331
رود,r-w-d,I want,148,120,4.395,0.732,55.32,2.169,2.84,1,0.033,4,0.467
اهل,a-h-l,Inhabited,127,120,5.787,0.964,62.72,1.913,2.118,2,0.092,4,0.508
بشر,b-sh-r,to uncover,123,119,4.822,0.803,61.26,1.942,1.954,1,0.042,4,0.387
طوع,T-w-3,Obeyed,129,118,5.532,0.921,84.24,1.401,1.604,3,0.169,4,0.347
سال,s-a-l,Query,129,118,5.891,0.981,65.64,1.798,0.737,3,0.347,4,0.254
خلف,kh-l-f,Succeed,127,116,3.783,0.63,63.12,1.838,3.53,2,0.466,4,0.526
عزز,3-z-z,Mighty,119,116,2.956,0.492,25.53,4.544,2.518,2,0.233,6,0.388
نذر,n-dh-r,Warner,130,115,6.483,1.08,69.36,1.658,0.73,4,0.643,4,0.217
نظر,n-z-r,to theorize,129,115,6.738,1.122,68.07,1.689,0.786,4,0.496,4,0.313
خوف,kh-w-f,feared,124,112,3.816,0.636,54.84,2.042,2.902,1,0.027,4,0.429
دخل,d-kh-l,entered,126,111,3.821,0.637,48.79,2.275,3.107,1,0.063,4,0.477
يدي,,,120,110,5.039,0.839,61.91,1.777,2.585,2,0.455,4,0.527
رزق,r-z-q,Sustenance,123,109,2.951,0.492,27.18,4.011,3.672,1,0.009,4,0.468
جزي,j-z-a,,118,109,4.51,0.751,61.91,1.761,1.871,1,0.055,6,0.312
امم,a-m-m,Community,119,108,3.79,0.631,53.93,2.003,3.33,2,0.463,4,0.528
ابو,a-b-w,Father,117,104,6.679,1.113,59.37,1.752,1.22,3,0.558,4,0.442
رجع,r-j-3,Returned,104,103,5.01,0.834,63.63,1.619,1.618,2,0.398,4,0.301
حسب,h-s-b,Sufficiency,109,102,5.012,0.835,62.29,1.638,1.807,2,0.059,4,0.373
فعل,f-3-l,Action,108,102,5.606,0.934,59.86,1.704,1.625,2,0.069,4,0.392
نهر,n-h-r,Day,113,102,3.322,0.553,54.24,1.881,3.418,1,0.069,4,0.5
اكل,a-k-l,He made to eat,109,101,4.989,0.831,56.55,1.786,2.342,1,0.05,4,0.475
شدد,sh-d-d,Severe,102,99,4.548,0.758,66.9,1.48,2.732,2,0.525,4,0.444
اجر,a-j-r,wage,108,99,2.276,0.379,17.31,5.718,3.848,1,0.061,4,0.394
وجد,w-j-d,Finding,107,99,5.156,0.859,50.94,1.944,2.527,3,0.495,4,0.505
صبر,s-b-r,Patience,103,93,4.008,0.668,62.54,1.487,2.095,2,0.323,6,0.333
انس,a-n-s,Familiarize,97,93,7.074,1.178,63.91,1.455,0.518,3,0.398,4,0.237
عدو,3-d-w,openly,106,92,4.483,0.747,58.58,1.571,3.292,2,0.435,4,0.565
فضل,f-d-l,excelled,104,92,3.455,0.575,56.01,1.643,3.647,3,0.489,4,0.533
قرب,q-r-b,Near,96,91,4.859,0.809,54.72,1.663,2.735,2,0.473,4,0.527
صلو,s-l-w,Behaved haughtily,99,90,3.31,0.551,23.39,3.848,3.201,3,0.544,4,0.444
اذن,a-dh-n,Ear,102,90,3.993,0.665,69.78,1.29,3.51,2,0.378,4,0.567
بغي,b-gh-a,oppression,96,90,4.896,0.816,58.75,1.532,3.133,2,0.056,4,0.567
صحب,s-h-b,reddish,97,89,6.978,1.162,67.42,1.32,0.662,2,0.135,4,0.247
سبح,s-b-h,Swam,92,87,3.648,0.608,52.49,1.657,2.247,3,0.379,6,0.379
بعض,b-3-d,Some,158,87,4.793,0.798,53.45,1.628,3.218,3,0.322,4,0.667
دين,d-y-n,Debt,101,87,4.896,0.816,76.67,1.135,2.732,2,0.494,4,0.425
نفق,n-f-q,Expended,111,86,2.447,0.408,14.63,5.88,4.261,1,0.0,4,0.57
خلد,kh-l-d,Abode,87,86,4.33,0.721,54.16,1.588,1.912,3,0.174,4,0.337
حبب,h-b-b,Loved,95,85,3.495,0.582,54.29,1.566,3.311,2,0.518,4,0.447
ليس,l-y-s,not,89,85,5.012,0.835,61.96,1.372,2.971,1,0.059,4,0.506
كيف,k-y-f,,83,83,7.546,1.257,75.98,1.092,0.748,4,0.639,4,0.313
احد,a-h-d,One,85,82,4.154,0.692,52.92,1.549,3.374,3,0.402,4,0.573
ليل,l-y-l,night,92,81,4.709,0.784,61.36,1.32,1.772,2,0.333,6,0.37
سجد,s-j-d,Sajdah,92,81,4.042,0.673,65.92,1.229,2.721,2,0.481,4,0.469
سوي,s-w-a,Equal,83,80,4.681,0.78,59.96,1.334,2.147,2,0.412,4,0.388
ولد,w-l-d,,102,80,4.642,0.773,64.46,1.241,2.918,2,0.512,4,0.463
اخو,a-kh-w,Brother,96,80,6.528,1.087,48.07,1.664,1.537,3,0.562,4,0.425
مول,m-w-l,wealth,86,80,4.625,0.77,51.72,1.547,2.602,1,0.037,4,0.438
قرا,q-r-a,disease,88,79,5.672,0.945,56.68,1.394,0.387,3,0.342,1,0.266
شطن,sh-T-n,devil,88,78,3.067,0.511,20.46,3.812,3.272,3,0.526,4,0.397
نجو,n-j-w,free,84,75,3.902,0.65,51.11,1.467,2.099,2,0.453,1,0.387
قلل,q-l-l,Few,76,74,4.709,0.784,61.76,1.198,2.494,2,0.5,4,0.486
عقب,3-q-b,Followed him,80,74,6.381,1.063,62.38,1.186,1.447,2,0.108,4,0.392
الم,a-l-m,Painful,75,73,2.851,0.475,42.06,1.735,3.474,2,0.507,4,0.452
بلغ,b-l-gh,Attainment,77,73,4.382,0.73,56.32,1.296,2.699,2,0.479,4,0.425
زوج,z-w-j,Pair,81,72,4.885,0.814,54.55,1.32,3.113,2,0.375,4,0.597
غني,gh-n-a,Rich,73,72,5.743,0.957,63.19,1.139,1.626,4,0.583,4,0.389
عرض,3-r-d,exhibit,79,72,5.884,0.98,60.2,1.196,1.442,2,0.083,4,0.347
كلم,k-l-m,word,75,71,3.677,0.612,55.33,1.283,3.292,2,0.493,4,0.521
وجه,w-j-h,Face,78,71,5.466,0.91,56.36,1.26,1.583,3,0.451,4,0.338
حرم,h-r-m,Prohibited,83,71,3.349,0.558,44.81,1.584,4.425,3,0.211,4,0.789
باس,b-a-s,Wretchedness,73,70,4.112,0.685,49.55,1.413,2.562,1,0.029,4,0.4
ضرر,d-r-r,Harm,74,70,2.925,0.487,19.55,3.581,4.058,2,0.429,4,0.557
وحي,w-h-a,Quick,78,70,5.268,0.877,60.08,1.165,1.78,3,0.486,4,0.429
شكر,sh-k-r,Thanksgiving,75,69,5.173,0.862,53.9,1.28,2.209,3,0.449,4,0.391
توب,t-w-b,Repented,87,69,2.588,0.431,13.27,5.199,4.079,2,0.464,4,0.464
علو,3-l-w,Elevated,70,68,5.659,0.943,60.36,1.127,0.801,3,0.368,4,0.265
وحد,w-h-d,,68,67,4.729,0.788,55.81,1.201,2.264,1,0.045,4,0.388
فرق,f-r-q,group,72,66,4.184,0.697,45.52,1.45,2.781,2,0.53,4,0.455
سكن,s-k-n,Poor,69,66,4.784,0.797,61.48,1.073,2.812,2,0.106,4,0.53
رجل,r-j-l,Walked,73,66,5.308,0.884,57.56,1.147,2.914,3,0.364,4,0.591
جرم,j-r-m,,66,65,5.719,0.953,55.17,1.178,0.662,3,0.308,0,0.246
متع,m-t-3,Delight,70,65,4.552,0.758,50.1,1.297,2.745,2,0.477,4,0.477
جري,j-r-a,,64,64,5.453,0.908,49.54,1.292,2.135,3,0.25,4,0.562
وفي,w-f-a,Fulfill or Keeper,66,64,4.222,0.703,51.16,1.251,3.067,1,0.078,4,0.5
بعث,b-3-th,Sending,67,64,6.397,1.066,63.17,1.013,1.026,3,0.484,4,0.359
رضو,r-d-w,Pleased,73,64,4.262,0.71,62.95,1.017,3.3,2,0.406,4,0.578
عين,3-y-n,Eye,65,63,6.168,1.027,49.41,1.275,0.436,3,0.413,4,0.333
هلك,h-l-k,Destruction,68,63,3.256,0.542,22.93,2.748,1.912,2,0.27,1,0.333
يمن,y-m-n,The Right,71,63,6.461,1.076,53.31,1.182,1.691,3,0.476,4,0.508
عرف,3-r-f,known,70,62,5.82,0.97,49.29,1.258,2.669,4,0.387,4,0.613
حمد,h-m-d,praised,63,61,2.741,0.457,19.39,3.147,3.019,2,0.328,6,0.492
ذوق,dh-w-q,,63,61,5.496,0.915,50.0,1.22,1.44,4,0.459,4,0.344
تلو,t-l-w,To follow,63,61,4.814,0.802,53.67,1.137,2.35,2,0.525,4,0.459
وكل,w-k-l,Agent,70,61,3.029,0.505,21.43,2.846,2.967,3,0.443,6,0.361
موه,m-w-h,,63,60,5.003,0.833,56.32,1.065,2.713,3,0.45,4,0.55
خسر,kh-s-r,Lost,65,60,5.575,0.929,56.58,1.061,1.477,2,0.133,4,0.333
كسب,k-s-b,bad dates,67,60,4.659,0.776,60.33,0.995,2.104,3,0.45,4,0.367
غيب,gh-y-b,Absence,60,59,6.668,1.111,58.49,1.009,0.968,2,0.119,4,0.373
زيد,z-y-d,increased,61,59,4.453,0.742,53.56,1.102,2.429,3,0.525,4,0.39
قضي,q-d-a,finished,63,59,4.464,0.744,57.01,1.035,2.849,2,0.492,4,0.475
سحر,s-h-r,Suhur,63,59,4.628,0.771,54.95,1.074,0.527,3,0.254,1,0.254
