root,translit,top_gloss,occurrences,n_ayahs,loc_raw,loc_whitened,delta
مدن,m-d-n,,17,17,1.801,0.78,-1.02
حمم,h-m-m,Intense heat,21,20,1.756,0.876,-0.88
عصو,3-s-w,Disobeyed,12,12,1.464,0.615,-0.849
سلك,s-l-k,Cleared,12,12,1.744,0.999,-0.745
بحر,b-h-r,"to cut, to slit",42,40,1.178,0.455,-0.723
جبل,j-b-l,,41,39,1.541,0.839,-0.702
عطو,3-T-w,Gave,14,12,1.524,0.833,-0.691
نبذ,n-b-dh,discarded,12,12,1.594,0.935,-0.659
لوم,l-w-m,Reproach,14,12,1.395,0.768,-0.627
وقت,w-q-t,,13,13,1.434,0.814,-0.62
وقع,w-q-3,Occurrence,24,22,1.539,0.922,-0.617
دري,d-r-a,To understand,29,28,1.547,0.947,-0.601
كيل,k-y-l,Measure,16,13,1.404,0.807,-0.597
كيد,k-y-d,To drive mad,35,29,1.48,0.895,-0.585
صلي,s-l-a,Filled,25,25,1.443,0.92,-0.523
بطن,b-T-n,Became large,25,25,1.349,0.855,-0.494
فكه,f-k-h,Jovial,19,19,1.164,0.674,-0.49
وزن,w-z-n,Balance,23,21,1.481,0.994,-0.487
مهد,m-h-d,made smooth,16,15,1.456,0.981,-0.475
بلد,b-l-d,Dwelt,19,19,1.239,0.779,-0.46
ثلث,th-l-th,to be cunning,32,28,1.076,0.639,-0.438
حدث,h-d-th,Hadith,36,36,1.369,0.95,-0.419
جحم,j-h-m,,26,26,1.029,0.615,-0.415
افك,a-f-k,he denied,30,29,1.372,0.958,-0.414
فجر,f-j-r,Burst,24,21,1.42,1.006,-0.414
بقي,b-q-a,remained,21,21,1.206,0.793,-0.414
زرع,z-r-3,Sowed,14,12,1.419,1.01,-0.409
وزر,w-z-r,,27,14,1.368,0.961,-0.407
طلق,T-l-q,Loose,23,21,1.317,0.912,-0.405
شرب,sh-r-b,Drank,39,34,1.446,1.042,-0.404
لبث,l-b-th,Stay,31,27,1.283,0.897,-0.386
لسن,l-s-n,Tongue,25,24,1.22,0.873,-0.347
عسر,3-s-r,To be difficult,12,12,1.476,1.137,-0.339
خفي,kh-f-a,Concealed,34,31,0.718,0.382,-0.336
ورث,w-r-th,,35,34,1.356,1.021,-0.335
خشع,kh-sh-3,Humble,17,16,1.151,0.823,-0.328
نشا,n-sh-a,established,28,25,1.205,0.89,-0.315
نذر,n-dh-r,Warner,130,115,1.08,0.771,-0.309
ترك,t-r-k,Abandonment,43,37,1.358,1.055,-0.303
فلك,f-l-k,Breast,25,25,1.17,0.869,-0.301
غدو,gh-d-w,hollow,16,16,1.196,0.906,-0.291
يتم,y-t-m,,23,22,1.074,0.786,-0.288
كيف,k-y-f,,83,83,1.257,0.978,-0.279
ندو,,,53,50,1.355,1.078,-0.277
ضيق,d-y-q,narrow,13,12,1.077,0.801,-0.277
نخل,n-kh-l,,20,20,1.079,0.804,-0.275
قسم,q-s-m,Divided,33,31,1.302,1.03,-0.272
سير,s-y-r,Walked,27,25,1.233,0.961,-0.272
خلق,kh-l-q,Creation,261,218,1.056,0.788,-0.268
عمي,3-m-a,Blind,33,30,1.145,0.879,-0.266
نبت,n-b-t,Plant,26,23,0.935,0.677,-0.257
سقي,s-q-a,to cause to drink,25,24,1.064,0.818,-0.246
اخو,a-kh-w,Brother,96,80,1.087,0.844,-0.244
حمل,h-m-l,Pregnancy,64,50,1.274,1.037,-0.238
الف,a-l-f,Thousand,22,19,1.142,0.911,-0.23
سلم,s-l-m,Safe,140,127,1.13,0.906,-0.224
عجل,3-j-l,Hasten,47,44,1.19,0.967,-0.223
قمر,q-m-r,Dazzled,27,26,0.987,0.765,-0.222
شقو,sh-q-w,Unhappy,12,12,1.217,0.997,-0.22
لعب,l-3-b,Played,20,20,1.054,0.835,-0.219
مكر,m-k-r,Artifice,43,23,0.998,0.782,-0.216
حور,h-w-r,Houris,13,12,1.062,0.846,-0.216
سطر,s-T-r,,16,16,0.857,0.643,-0.215
سنو,s-n-w,Year,20,20,1.34,1.126,-0.214
سوع,s-w-3,Hour,49,44,0.559,0.349,-0.21
لبب,l-b-b,,16,16,0.809,0.601,-0.208
صنع,s-n-3,Watī'ah,20,19,0.829,0.629,-0.199
غيب,gh-y-b,Absence,60,59,1.111,0.913,-0.198
فقه,f-q-h,,20,20,1.001,0.803,-0.198
شهد,sh-h-d,Witnessed,160,123,0.826,0.633,-0.193
صفف,s-f-f,Arranged,14,12,0.989,0.797,-0.192
شرق,sh-r-q,East,17,17,0.969,0.78,-0.19
عشر,3-sh-r,Tenth,27,26,1.142,0.953,-0.189
ابو,a-b-w,Father,117,104,1.113,0.927,-0.186
بصر,b-s-r,Seeing,148,139,1.177,0.994,-0.183
بيض,b-y-d,Whitened,12,12,1.16,0.981,-0.179
وذر,w-dh-r,,45,43,1.079,0.9,-0.179
عرب,3-r-b,Arabic,22,22,0.834,0.656,-0.178
حين,h-y-n,Time,35,33,1.069,0.894,-0.175
صبح,s-b-h,dawn,45,43,1.144,0.978,-0.166
بيت,b-y-t,house,73,54,0.966,0.801,-0.165
خطب,kh-T-b,To propose,12,12,1.157,0.994,-0.163
غلب,gh-l-b,Dominance,31,28,1.133,0.973,-0.16
صدر,s-d-r,Returned,46,43,0.957,0.802,-0.155
وثق,w-th-q,Covenant,34,29,0.621,0.471,-0.15
عين,3-y-n,Eye,65,63,1.027,0.878,-0.149
نظر,n-z-r,to theorize,129,115,1.122,0.975,-0.147
صمم,s-m-m,Whispered,15,14,0.734,0.589,-0.145
حشر,h-sh-r,Gathered,43,43,1.109,0.972,-0.137
انس,a-n-s,Familiarize,97,93,1.178,1.044,-0.134
عرش,3-r-sh,to construct,33,32,0.739,0.607,-0.132
رسو,r-s-w,Anchorage,14,14,1.011,0.881,-0.13
طعم,T-3-m,Food,48,41,1.104,0.975,-0.13
صحب,s-h-b,reddish,97,89,1.162,1.038,-0.124
نكر,n-k-r,Denial,37,37,0.814,0.691,-0.124
يمن,y-m-n,The Right,71,63,1.076,0.953,-0.123
ترب,t-r-b,Dust,22,22,1.2,1.078,-0.122
نسي,n-s-a,Forgot,45,37,1.209,1.088,-0.121
اهل,a-h-l,Inhabited,127,120,0.964,0.848,-0.116
غني,gh-n-a,Rich,73,72,0.957,0.842,-0.115
