surah,name,n_ayahs,mean_len,cohesion,umap_x,umap_y
1,Al-Fatihah,7,4.1,0.9719,13.836,2.812
2,Al-Baqarah,286,21.4,0.9595,16.701,1.008
3,Aal-Imran,200,17.4,0.9618,16.617,1.353
4,An-Nisa,176,21.3,0.9602,17.29,1.011
5,Al-Maidah,120,23.4,0.9623,17.654,0.678
6,Al-Anam,165,18.5,0.9602,16.357,1.183
7,Al-Araf,206,16.1,0.9548,14.664,0.949
8,Al-Anfal,75,16.4,0.965,16.642,1.328
9,At-Tawbah,129,19.4,0.9609,16.916,0.898
10,Yunus,109,16.8,0.9587,15.531,1.173
11,Hud,123,15.6,0.9603,15.824,1.269
12,Yusuf,111,16.0,0.9557,14.748,1.032
13,Ar-Rad,43,19.8,0.9623,17.14,1.258
14,Ibrahim,52,16.0,0.9619,16.118,1.615
15,Al-Hijr,99,6.6,0.9588,11.114,1.769
16,An-Nahl,128,14.4,0.9622,15.389,1.638
17,Al-Isra,111,14.0,0.9566,14.706,1.375
18,Al-Kahf,110,14.4,0.9525,14.046,1.223
19,Maryam,98,9.8,0.9569,12.801,1.897
20,Ta-Ha,135,9.9,0.9507,11.343,1.864
21,Al-Anbiya,112,10.4,0.9568,12.006,1.402
22,Al-Hajj,78,16.3,0.9602,15.943,1.553
23,Al-Muminun,118,8.9,0.9573,12.294,1.497
24,An-Nur,64,20.6,0.9591,16.671,1.159
25,Al-Furqan,77,11.6,0.9584,14.586,1.34
26,Ash-Shuara,227,5.8,0.9563,10.529,2.011
27,An-Naml,93,12.4,0.9548,13.019,1.656
28,Al-Qasas,88,16.2,0.9567,15.521,1.017
29,Al-Ankabut,69,14.1,0.9609,15.402,1.301
30,Ar-Rum,60,13.6,0.9585,15.299,1.76
31,Luqman,34,16.1,0.9578,15.979,1.837
32,As-Sajdah,30,12.4,0.9575,14.341,1.674
33,Al-Ahzab,73,17.6,0.9605,16.27,1.29
34,Saba,54,16.4,0.9602,15.49,1.164
35,Fatir,45,17.2,0.9557,15.766,1.409
36,Ya-Sin,83,8.7,0.9582,11.658,1.607
37,As-Saffat,182,4.7,0.9548,8.13,1.978
38,Sad,88,8.3,0.9558,11.585,1.658
39,Az-Zumar,75,15.6,0.9616,16.239,1.37
40,Ghafir,85,14.3,0.958,15.159,1.433
41,Fussilat,54,14.7,0.9586,15.726,1.162
42,Ash-Shura,53,16.2,0.9565,15.875,1.908
43,Az-Zukhruf,89,9.3,0.9599,13.259,1.442
44,Ad-Dukhan,59,5.9,0.9565,10.206,2.061
45,Al-Jathiyah,37,13.2,0.9613,15.294,1.918
46,Al-Ahqaf,35,18.4,0.9597,16.502,0.897
47,Muhammad,38,14.2,0.9623,14.969,1.318
48,Al-Fath,29,19.3,0.9616,17.183,1.299
49,Al-Hujurat,18,19.3,0.9693,17.453,1.361
50,Qaf,45,8.3,0.959,11.534,1.555
51,Adh-Dhariyat,60,6.0,0.9571,10.218,1.974
52,At-Tur,49,6.4,0.9539,9.922,1.867
53,An-Najm,62,5.8,0.9555,8.566,2.568
54,Al-Qamar,55,6.2,0.9579,11.126,1.144
55,Ar-Rahman,78,4.5,0.964,15.249,3.238
56,Al-Waqiah,96,3.9,0.9573,8.379,2.25
57,Al-Hadid,29,19.8,0.9613,17.159,1.692
58,Al-Mujadila,22,21.5,0.9676,17.45,0.916
59,Al-Hashr,24,18.5,0.9642,17.003,1.194
